product_code,warehouse,product_category,date,order_demand
Product_0083,Whse_C,Category_019,2012-01-09,25000
Product_0083,Whse_C,Category_019,2012-01-16,0
Product_0083,Whse_C,Category_019,2012-01-23,40000
Product_0083,Whse_C,Category_019,2012-01-30,18000
Product_0083,Whse_C,Category_019,2012-02-06,127000
Product_0083,Whse_C,Category_019,2012-02-13,152000
Product_0083,Whse_C,Category_019,2012-02-20,0
Product_0083,Whse_C,Category_019,2012-02-27,202000
Product_0083,Whse_C,Category_019,2012-03-05,0
Product_0083,Whse_C,Category_019,2012-03-12,6000
Product_0083,Whse_C,Category_019,2012-03-19,262000
Product_0083,Whse_C,Category_019,2012-03-26,60000
Product_0083,Whse_C,Category_019,2012-04-02,0
Product_0083,Whse_C,Category_019,2012-04-09,1000
Product_0083,Whse_C,Category_019,2012-04-16,0
Product_0083,Whse_C,Category_019,2012-04-23,3000
Product_0083,Whse_C,Category_019,2012-04-30,62000
Product_0083,Whse_C,Category_019,2012-05-07,2000
Product_0083,Whse_C,Category_019,2012-05-14,30000
Product_0083,Whse_C,Category_019,2012-05-21,20000
Product_0083,Whse_C,Category_019,2012-05-28,120000
Product_0083,Whse_C,Category_019,2012-06-04,1000
Product_0083,Whse_C,Category_019,2012-06-11,130000
Product_0083,Whse_C,Category_019,2012-06-18,1000
Product_0083,Whse_C,Category_019,2012-06-25,260000
Product_0083,Whse_C,Category_019,2012-07-02,10000
Product_0083,Whse_C,Category_019,2012-07-09,770000
Product_0083,Whse_C,Category_019,2012-07-16,0
Product_0083,Whse_C,Category_019,2012-07-23,2000
Product_0083,Whse_C,Category_019,2012-07-30,20000
Product_0083,Whse_C,Category_019,2012-08-06,20000
Product_0083,Whse_C,Category_019,2012-08-13,20000
Product_0083,Whse_C,Category_019,2012-08-20,0
Product_0083,Whse_C,Category_019,2012-08-27,0
Product_0083,Whse_C,Category_019,2012-09-03,0
Product_0083,Whse_C,Category_019,2012-09-10,3000
Product_0083,Whse_C,Category_019,2012-09-17,1000
Product_0083,Whse_C,Category_019,2012-09-24,0
Product_0083,Whse_C,Category_019,2012-10-01,0
Product_0083,Whse_C,Category_019,2012-10-08,0
Product_0083,Whse_C,Category_019,2012-10-15,110000
Product_0083,Whse_C,Category_019,2012-10-22,0
Product_0083,Whse_C,Category_019,2012-10-29,0
Product_0083,Whse_C,Category_019,2012-11-05,60000
Product_0083,Whse_C,Category_019,2012-11-12,104000
Product_0083,Whse_C,Category_019,2012-11-19,0
Product_0083,Whse_C,Category_019,2012-11-26,8000
Product_0083,Whse_C,Category_019,2012-12-03,3000
Product_0083,Whse_C,Category_019,2012-12-10,210000
Product_0083,Whse_C,Category_019,2012-12-17,1000
Product_0083,Whse_C,Category_019,2012-12-24,12000
Product_0083,Whse_C,Category_019,2012-12-31,222000
Product_0083,Whse_C,Category_019,2013-01-07,11000
Product_0083,Whse_C,Category_019,2013-01-14,95000
Product_0083,Whse_C,Category_019,2013-01-21,10000
Product_0083,Whse_C,Category_019,2013-01-28,51000
Product_0083,Whse_C,Category_019,2013-02-04,0
Product_0083,Whse_C,Category_019,2013-02-11,9000
Product_0083,Whse_C,Category_019,2013-02-18,1000
Product_0083,Whse_C,Category_019,2013-02-25,10000
Product_0083,Whse_C,Category_019,2013-03-04,10000
Product_0083,Whse_C,Category_019,2013-03-11,73000
Product_0083,Whse_C,Category_019,2013-03-18,62000
Product_0083,Whse_C,Category_019,2013-03-25,11000
